timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661356021789,8844,https://my.pinvest.ir/auth,200,"Embedded resource download error:https://my.pinvest.ir/images/icons/icon-512x512.png code:404 message:Not Found, https://my.pinvest.ir/js/app.js code:Non HTTP response code: org.apache.http.NoHttpResponseException message:Non HTTP response message: my.pinvest.ir:443 failed to respond, ",Thread Group 1-1,text,false,,1141584,9311,1,1,https://my.pinvest.ir/auth,2768,0,2547
1661356021789,2788,https://my.pinvest.ir/auth-0,200,OK,Thread Group 1-1,text,true,,16491,598,1,1,https://my.pinvest.ir/auth,2768,0,2547
1661356024744,2658,https://my.pinvest.ir/auth-1,200,OK,Thread Group 1-1,bin,true,,1790,730,1,1,https://my.pinvest.ir/images/favicon.png,2657,0,2158
1661356024744,2708,https://my.pinvest.ir/auth-2,200,OK,Thread Group 1-1,text,true,,409500,735,1,1,https://my.pinvest.ir/css/pages/user/main.css,122,0,0
1661356024744,2656,https://my.pinvest.ir/auth-3,200,OK,Thread Group 1-1,text,true,,3472,735,1,1,https://my.pinvest.ir/css/pages/user/auth.css,2656,0,2158
1661356024743,5890,https://my.pinvest.ir/auth-4,200,OK,Thread Group 1-1,text,true,,204956,628,1,1,https://www.googletagmanager.com/gtag/js?id=G-0TJJMBYH03,5439,0,3759
1661356024744,2662,https://my.pinvest.ir/auth-5,404,Not Found,Thread Group 1-1,text,false,,3354,741,1,1,https://my.pinvest.ir/images/icons/icon-512x512.png,2661,0,2158
1661356024745,2658,https://my.pinvest.ir/auth-6,200,OK,Thread Group 1-1,bin,true,,5058,727,1,1,https://my.pinvest.ir/images/logo.png,2657,0,2157
1661356027410,1040,https://my.pinvest.ir/auth-7,200,OK,Thread Group 1-1,bin,true,,77510,735,1,1,https://my.pinvest.ir/images/slider/pic1.jpeg,872,0,0
1661356027416,1067,https://my.pinvest.ir/auth-8,200,OK,Thread Group 1-1,bin,true,,64362,735,1,1,https://my.pinvest.ir/images/slider/pic2.jpeg,946,0,0
1661356027418,1085,https://my.pinvest.ir/auth-9,200,OK,Thread Group 1-1,bin,true,,43646,735,1,1,https://my.pinvest.ir/images/slider/pic3.jpeg,1075,0,0
1661356028140,366,https://my.pinvest.ir/auth-10,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: my.pinvest.ir:443 failed to respond,Thread Group 1-1,text,false,,2114,0,1,1,https://my.pinvest.ir/js/app.js,0,0,0
1661356028451,1829,https://my.pinvest.ir/auth-11,200,OK,Thread Group 1-1,text,true,,151686,733,1,1,https://my.pinvest.ir/js/pages/user/main.js,85,0,0
1661356028484,1301,https://my.pinvest.ir/auth-12,200,OK,Thread Group 1-1,text,true,,1203,733,1,1,https://my.pinvest.ir/js/pages/user/auth.js,1301,0,0
1661356028505,1959,https://my.pinvest.ir/auth-13,200,OK,Thread Group 1-1,text,true,,156442,746,1,1,https://my.pinvest.ir/js/pages/user/auth-nationalcode.js,1467,0,0
1661356030646,174,https://my.pinvest.ir/api/v1/checkUser,200,OK,Thread Group 1-1,text,true,,2195,684,1,1,https://my.pinvest.ir/api/v1/checkUser,174,0,0
1661356045188,119,https://my.pinvest.ir/auth/password,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: my.pinvest.ir:443 failed to respond,Thread Group 1-1,text,false,,2083,0,1,1,https://my.pinvest.ir/auth/password,0,0,0
1661356045311,59,https://my.pinvest.ir/api/v1/auth/signIn,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: my.pinvest.ir:443 failed to respond,Thread Group 1-1,text,false,,2083,0,1,1,https://my.pinvest.ir/api/v1/auth/signIn,0,0,0
1661356051603,1561,https://my.pinvest.ir/,200,"Embedded resource download error:https://my.pinvest.ir/images/icons/icon-512x512.png code:404 message:Not Found, ",Thread Group 1-1,text,false,,827329,17458,1,1,https://my.pinvest.ir/auth,149,0,0
1661356051603,149,https://my.pinvest.ir/-0,302,Found,Thread Group 1-1,text,true,,1934,1121,1,1,https://my.pinvest.ir/,149,0,0
1661356051755,112,https://my.pinvest.ir/-1,200,OK,Thread Group 1-1,text,true,,16491,1125,1,1,https://my.pinvest.ir/auth,111,0,0
1661356051896,622,https://my.pinvest.ir/-2,304,Not Modified,Thread Group 1-1,,true,,179,1225,1,1,https://my.pinvest.ir/images/favicon.png,0,0,541
1661356051896,151,https://my.pinvest.ir/-3,304,Not Modified,Thread Group 1-1,,true,,181,1232,1,1,https://my.pinvest.ir/css/pages/user/main.css,0,0,0
1661356051896,623,https://my.pinvest.ir/-4,304,Not Modified,Thread Group 1-1,,true,,179,1230,1,1,https://my.pinvest.ir/css/pages/user/auth.css,0,0,551
1661356051896,540,https://my.pinvest.ir/-5,200,OK,Thread Group 1-1,text,true,,204948,630,1,1,https://www.googletagmanager.com/gtag/js?id=G-0TJJMBYH03,248,0,0
1661356051896,249,https://my.pinvest.ir/-6,404,Not Found,Thread Group 1-1,text,false,,3354,1150,1,1,https://my.pinvest.ir/images/icons/icon-512x512.png,248,0,0
1661356051965,481,https://my.pinvest.ir/-7,304,Not Modified,Thread Group 1-1,,true,,179,1222,1,1,https://my.pinvest.ir/images/logo.png,0,0,182
1661356052049,237,https://my.pinvest.ir/-8,304,Not Modified,Thread Group 1-1,,true,,181,1232,1,1,https://my.pinvest.ir/images/slider/pic1.jpeg,0,0,0
1661356052145,292,https://my.pinvest.ir/-9,304,Not Modified,Thread Group 1-1,,true,,180,1231,1,1,https://my.pinvest.ir/images/slider/pic2.jpeg,0,0,0
